"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"be-model-observation","be-model-observation","","","",0,*,"","","","null {[]} {[]}
","BeObservation Model","Observation logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"be-model-observation.identifier","be-model-observation.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Unique identifier for the observation","Unique identifier for the observation","","","","","","","","","",,,,,"http://example.org/CodeSystem/BeSafeShareGlossary#careset-business-identifier
",,,,"be-model-observation.identifier",1,*,"",""
"be-model-observation.recordedDate","be-model-observation.recordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date when the observation was recorded","Date when the observation was recorded","","","","","","","","","",,,,,"http://example.org/CodeSystem/BeSafeShareGlossary#recorded-date
",,,,"be-model-observation.recordedDate",1,1,"",""
"be-model-observation.observationDate[x]","be-model-observation.observationDate[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Date or period of the observation","Date or period of the observation","","","","","","","","","",,,,,"",,,,"be-model-observation.observationDate[x]",1,1,"",""
"be-model-observation.recorder","be-model-observation.recorder","","","",1,1,"","","","Reference {[]} {[]}
","Person, organisation or device that recorded the observation","Person, organisation or device that recorded the observation","","","","","","","","","",,,,,"http://example.org/CodeSystem/BeSafeShareGlossary#recorder
",,,,"be-model-observation.recorder",1,1,"",""
"be-model-observation.performer","be-model-observation.performer","","","",0,1,"","","","Reference {[]} {[]}
","The professional that performed the observation","The professional that performed the observation","","","","","","","","","",,,,,"",,,,"be-model-observation.performer",0,1,"",""
"be-model-observation.patient","be-model-observation.patient","","","",1,1,"","","","Reference {[]} {[]}
","The patient that this observation is about","The patient that this observation is about","","","","","","","","","",,,,,"http://example.org/CodeSystem/BeSafeShareGlossary#patient
http://snomed.info/sct#410604004",,,,"be-model-observation.patient",1,1,"",""
"be-model-observation.request","be-model-observation.request","","","",0,1,"","","","Reference {[]} {[]}
","The request that this observation is fulfilling","The request that this observation is fulfilling","","","","","","","","","",,,,,"",,,,"be-model-observation.request",0,1,"",""
"be-model-observation.partOfProcedure","be-model-observation.partOfProcedure","","","",0,*,"","","","Reference {[]} {[]}
","Part of referenced procedure","Part of referenced procedure","","","","","","","","","",,,,,"",,,,"be-model-observation.partOfProcedure",0,*,"",""
"be-model-observation.specimen","be-model-observation.specimen","","","",0,1,"","","","Reference {[]} {[]}
","The specimen that was used when this observation was made","The specimen that was used when this observation was made","","","","","","","","","",,,,,"",,,,"be-model-observation.specimen",0,1,"",""
"be-model-observation.device","be-model-observation.device","","","",0,1,"","","","Reference {[]} {[]}
","The device used to generate the observation data","The device used to generate the observation data","","","","","","","","","",,,,,"",,,,"be-model-observation.device",0,1,"",""
"be-model-observation.category","be-model-observation.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A code that classifies the general type of observation being made","A code that classifies the general type of observation being made","","","","","","","","","",,,,,"",,,,"be-model-observation.category",0,*,"",""
"be-model-observation.code","be-model-observation.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Describes what was observed. Sometimes this is called the observation 'name'","Describes what was observed. Sometimes this is called the observation 'name'","","","","","","","","","",,,,,"",,,,"be-model-observation.code",1,1,"",""
"be-model-observation.value[x]","be-model-observation.value[x]","","","",0,1,"","","","Quantity {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}boolean {[]} {[]}integer {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}time {[]} {[]}dateTime {[]} {[]}Period {[]} {[]}","The value of the observation - typically a code, an amount or a date","The value of the observation - typically a code, an amount or a date","","","","","","","","","",,,,,"",,,,"be-model-observation.value[x]",0,1,"",""
"be-model-observation.component","be-model-observation.component","","","",0,*,"","","","BackboneElement {[]} {[]}
","Some observations have multiple component observations","Some observations have multiple component observations","","","","","","","","","",,,,,"",,,,"be-model-observation.component",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-observation.component.id","be-model-observation.component.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-observation.component.extension","be-model-observation.component.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-observation.component.modifierExtension","be-model-observation.component.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-observation.component.code","be-model-observation.component.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Describes what was observed.","Describes what was observed.","","","","","","","","","",,,,,"",,,,"be-model-observation.component.code",1,1,"",""
"be-model-observation.component.value[x]","be-model-observation.component.value[x]","","","",0,1,"","","","Quantity {[]} {[]}
CodeableConcept {[]} {[]}string {[]} {[]}boolean {[]} {[]}integer {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}time {[]} {[]}dateTime {[]} {[]}Period {[]} {[]}","The value of the component observation - typically a code, an amount or a date","The value of the component observation - typically a code, an amount or a date","","","","","","","","","",,,,,"",,,,"be-model-observation.component.value[x]",0,1,"",""
"be-model-observation.status","be-model-observation.status","","","",1,1,"","","","code {[]} {[]}
","The status of the result value.","The status of the result value.","","","","","","","","","",,,,,"",,,,"be-model-observation.status",1,1,"",""
"be-model-observation.interpretation","be-model-observation.interpretation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A categorical assessment of an observation value","A categorical assessment of an observation value","","","","","","","","","",,,,,"",,,,"be-model-observation.interpretation",0,*,"",""
"be-model-observation.referenceRange","be-model-observation.referenceRange","","","",0,*,"","","","BackboneElement {[]} {[]}
","Guidance on how to interpret the value by comparison to a normal or recommended range","Guidance on how to interpret the value by comparison to a normal or recommended range","","","","","","","","","",,,,,"",,,,"be-model-observation.referenceRange",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
